# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(sr)			Inflow sr metallicity
#	10: z_in(o)			Inflow o metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(sr)			Outflow sr metallicity
#	13: z_out(o)			Outflow o metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(sr) [Msun]		mass of element sr in ISM
#	16: mass(o) [Msun]		mass of element o in ISM
0.000000e+00	6.774622e+09	9.256525e+07	1.023693e+01	nan	-nan	1.847345e+00	9.577127e-02	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
3.100000e-01	6.513218e+09	2.375427e+09	8.984412e+00	2.196617e+01	1.659731e+01	1.847345e+00	3.003543e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.584725e-04	9.198997e-09	3.909022e-03	2.986132e+06	5.991508e+01	2.546031e+07	
3.200000e-01	6.503864e+09	2.463119e+09	8.946691e+00	2.184035e+01	1.652763e+01	1.847345e+00	3.029956e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.698220e-04	9.365830e-09	3.974676e-03	3.055658e+06	6.091408e+01	2.585075e+07	
3.300000e-01	6.494424e+09	2.541919e+09	8.909129e+00	2.171264e+01	1.645824e+01	1.847345e+00	3.051628e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.810171e-04	9.529416e-09	4.038135e-03	3.123929e+06	6.188807e+01	2.622536e+07	
3.400000e-01	6.484902e+09	2.611891e+09	8.871727e+00	2.158990e+01	1.638914e+01	1.847345e+00	3.066024e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.920192e-04	9.689976e-09	4.099481e-03	3.190697e+06	6.283855e+01	2.658473e+07	
3.500000e-01	6.475298e+09	2.681442e+09	8.834483e+00	2.147433e+01	1.632034e+01	1.847345e+00	3.080441e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.027653e-04	9.847654e-09	4.158785e-03	3.255555e+06	6.376649e+01	2.692937e+07	
3.600000e-01	6.465614e+09	2.750574e+09	8.797397e+00	2.135939e+01	1.625183e+01	1.847345e+00	3.094805e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.132669e-04	1.000255e-08	4.216132e-03	3.318585e+06	6.467260e+01	2.725988e+07	
3.700000e-01	6.455851e+09	2.819291e+09	8.760468e+00	2.124515e+01	1.618361e+01	1.847345e+00	3.109064e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.235343e-04	1.015469e-08	4.271599e-03	3.379859e+06	6.555718e+01	2.757681e+07	
3.800000e-01	6.446011e+09	2.887596e+09	8.723695e+00	2.113165e+01	1.611568e+01	1.847345e+00	3.123188e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.335767e-04	1.030409e-08	4.325262e-03	3.439441e+06	6.642025e+01	2.788069e+07	
3.900000e-01	6.436094e+09	2.955493e+09	8.687079e+00	2.101890e+01	1.604803e+01	1.847345e+00	3.137152e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.434024e-04	1.045059e-08	4.377194e-03	3.497389e+06	6.726100e+01	2.817203e+07	
4.000000e-01	6.426103e+09	3.022986e+09	8.650617e+00	2.090693e+01	1.598068e+01	1.847345e+00	3.150943e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.530191e-04	1.059406e-08	4.427461e-03	3.553758e+06	6.807854e+01	2.845132e+07	
