APOGEE_ID,APOKASC2_AGE,APOKASC2_AGE_MERR,APOKASC2_AGE_PERR,DR16_ALP_M_COR,DR16_ALP_M_COR_ERR,DR16_FE_H,DR16_FE_H_ERR,DR16_M_H_COR,DR16_M_H_COR_ERR,DR16_O_FE,DR16_O_FE_ERR,ASTRONN_AGE,ASTRONN_AGE_ERR,TEFF,ASTRONN_TEFF_ERR,ASTRONN_LOGG,ASTRONN_LOGG_ERR,ASTRONN_C_H,ASTRONN_C_H_ERR,ASTRONN_N_H,ASTRONN_N_H_ERR,ASTRONN_O_H,ASTRONN_O_H_ERR,ASTRONN_TI_H,ASTRONN_TI_H_ERR,ASTRONN_FE_H,ASTRONN_FE_H_ERR,STARHORSE_M_H,STARHORSE_M_H_MERR,STARHORSE_M_H_PERR,ASTRONN_C_N,ASTRONN_C_N_ERR,ASTRONN_O_FE,ASTRONN_O_FE_ERR,AGE_DIFF
2M19280532+4049342,14.354895,6.5565934,3.1839106,0.112849,0.007036224,-0.010428548,0.009278922,0.02566845,0.007930184,0.160002,0.008786708,8.986033899165466,2.1971022821333257,4076.7373,29.98533,1.6137177,0.07333441,0.06540221,0.037429187,0.26217553,0.03843872,0.15513597,0.034479655,0.15582412,0.047354825,0.009445349,0.03224036,0.086286314,0.014831722,0.002191633,-0.19677332,0.05365146,0.14569062,0.04720474,-5.368860738896057
2M19384478+4049062,10.889301,4.506666,6.132284,0.0055710003,0.005806751,0.06320445,0.0068262196,0.07383645,0.0059136013,0.020755999,0.008168181,5.6791800192516,1.5953482151098288,4355.4395,18.518864,2.0819478,0.05467866,0.011954099,0.018890746,0.22850679,0.022412825,0.08452391,0.023422897,0.09183557,0.03551516,0.031459697,0.019201202,0.042163767,0.016145574,0.0029190741,-0.21655269,0.029312028,0.053064212,0.030287262,-5.210121280797228
2M18560337+4058260,15.346169,4.946968,1.5972081,0.207799,0.008176217,-0.48636153,0.0089085465,-0.47746155,0.007798572,0.251115,0.012159702,9.85344405010883,2.3952201626378473,4429.0317,19.109686,1.8071433,0.05990046,-0.441619,0.017553395,-0.32336926,0.023120943,-0.21954276,0.027600128,-0.4205661,0.04833059,-0.5293551,0.021255387,-0.3316994,0.005758345,0.00917387,-0.118249744,0.029029291,0.30981237,0.03483617,-5.492725421631892
2M19492734+4054564,17.538805,6.421488,10.130611,0.194429,0.007000085,-0.24744155,0.008198036,-0.23347154,0.0070587024,0.223405,0.009220719,8.310746065515225,2.028855718338489,4274.166,18.159655,1.6944307,0.049888827,-0.10565296,0.03349239,-0.041448694,0.017578522,-0.011795568,0.024538402,-0.08797646,0.03344705,-0.26244023,0.020507226,-0.08099908,0.006424494,0.0061083585,-0.06420426,0.037825186,0.25064465,0.03197936,-9.228058942419345
2M19123427+4105257,14.588142,4.5881424,3.0722356,0.183049,0.007602235,-0.38470155,0.008650404,-0.36659154,0.0074904286,0.21720502,0.010393724,8.689168690299416,1.9207880647137558,4319.4014,17.330904,1.7673566,0.05763249,-0.2760643,0.016680162,-0.22603096,0.021964174,-0.12990446,0.022763727,-0.223389,0.03851719,-0.38991356,0.02198806,-0.23315184,0.00393261,0.01993525,-0.050033346,0.027579933,0.2600091,0.031649046,-5.898973704720115
2M19131310+4102517,14.521116,4.8606076,2.9773507,0.11693899,0.0067528295,-0.15170155,0.007328076,-0.11428155,0.0064960467,0.146115,0.01178593,6.679977988613999,1.2283418532945145,4661.222,24.036118,2.5329964,0.06776685,-0.062060386,0.019093672,0.051734988,0.018368019,0.031221319,0.022698259,-0.019358793,0.033460673,-0.1655136,0.019681888,-0.019854706,0.0012554303,0.021267053,-0.11379537,0.026494386,0.19673492,0.030043097,-7.8411382680998685
2M19140896+4105495,10.209394,1.5397761,1.8687435,-0.010422001,0.005612421,0.10577845,0.0066608097,0.12807845,0.0057606613,0.016741,0.00780898,4.559637004022378,2.2315347431233628,4337.994,22.027344,1.9757787,0.04976715,0.07449967,0.025886916,0.30467966,0.031472515,0.12872228,0.026746709,0.11523512,0.036541514,0.07792119,0.022722876,0.10457516,0.021086544,0.009300992,-0.23018,0.040751092,0.05080109,0.035095803,-5.649757450933676
2M19202261+4100425,16.1808,5.216018,1.5202892,0.194379,0.0074655963,-0.34633154,0.008459725,-0.33565155,0.007340407,0.22147499,0.010392351,8.703367510279293,1.4193654713261807,4349.0156,18.519083,1.8322523,0.06105548,-0.26345605,0.015217705,-0.19457194,0.01982409,-0.07465459,0.020971376,-0.1650641,0.0475373,-0.35824057,0.022337602,-0.17839213,0.0009666085,0.0017358959,-0.068884104,0.02499146,0.283586,0.030639306,-7.477431973973637
2M19314375+4117383,13.740419,5.34582,3.9199584,0.058256,0.007765376,-0.38396156,0.008330289,-0.37413156,0.007352156,0.10627499,0.01256947,5.8424637994592405,1.425332857341609,4554.574,25.154945,1.9534793,0.060207583,-0.3989958,0.01938739,-0.16604912,0.017643875,-0.27197674,0.02324746,-0.40309083,0.039345186,-0.39398193,0.02196987,-0.32565963,0.02551812,0.0007312596,-0.23294666,0.026214065,0.122005194,0.03198624,-7.897955588358142
2M19505108+4115537,14.588142,6.6265492,3.235645,0.021262001,0.0052,0.24780846,0.007202403,0.27634844,0.005975291,0.04900998,0.005417279,8.21944088823265,3.1165632606306657,3928.3545,37.608395,1.5208268,0.07430494,0.30886295,0.04937258,0.42065698,0.039419897,0.31535733,0.043715794,0.51293254,0.10635697,0.24168737,0.045128204,0.2706892,0.00026392937,0.0066501796,-0.111794025,0.06317895,0.073669955,0.06283013,-6.368701506786881
